id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria;Saraiva;Margarida.Batista75@live.com;repurpose withdrawal;2022-11-06T13:51:50;71697;45464
2;Cecília;Carvalho;Ladislau.Braga@gmail.com;withdrawal;2022-11-06T17:48:42;75289;21024
3;Yango;Oliveira;Alessandro.Franco@gmail.com;Prático;2022-11-06T02:52:06;71090;65309
4;Maitê;Xavier;Aline.Braga@bol.com.br;reinvent orchestrate;2022-11-05T22:21:43;52820;82484
5;Liz;Braga;Flix14@bol.com.br;mobile Granito;2022-11-06T16:59:37;13439;33970
6;Alice;Carvalho;Gustavo.Carvalho73@yahoo.com;Jamaica time-frame;2022-11-06T01:45:49;64329;13556
7;Emanuel;Santos;Liz72@live.com;Devolved rich;2022-11-06T04:15:57;54588;45928
8;Danilo;Albuquerque;Bryan8@hotmail.com;payment Distrito;2022-11-06T18:19:21;3244;21747
9;Mariana;Oliveira;Isis_Santos98@live.com;caramelo;2022-11-06T09:40:00;90189;81327
10;Alessandro;Saraiva;Calebe79@gmail.com;Mesa Acre Checking;2022-11-05T22:20:10;32637;8639
